Name,Current-Price,Change,Open,High,Low,Volume
1-800-FLOWERS.COM INC.,8.03,+1.52%,8.31,8.56,7.80,"889,601"
10X GENOMICS INC.,23.35,+2.37%,23.08,23.67,22.76,"2,348,207"
111 INC. ADS,0.7685,-1.47%,0.8000,0.8308,0.7301,"309,944"
17 EDUCATION & TECHNOLOGY GROUP,1.97,+0.51%,1.97,1.97,1.97,"1,263"
180 DEGREE CAPITAL,3.34,-0.89%,3.36,3.39,3.34,"8,088"
180 LIFE SCIENCES,1.81,-1.09%,1.84,1.85,1.78,"6,231"
1895 BANCORP OF WISCONSIN INC.,9.00,+0.00%,8.90,9.00,8.90,"6,660"
1ST SOURCE CORP.,61.44,+0.99%,61.32,61.52,60.72,"62,668"
1STDIBS.COM INC.,4.91,+2.08%,4.83,4.91,4.78,"53,479"
22ND CENTURY GROUP INC,0.3191,-5.31%,0.3500,0.3504,0.3099,"451,711"
23ANDME HOLDING CO.,0.3149,+1.91%,0.3179,0.3198,0.3100,"929,907"
2SEVENTY BIO INC.,4.87,+1.04%,4.85,4.90,4.67,"223,238"
36KR HOLDINGS INC. ADS,0.2689,+2.13%,0.2600,0.2689,0.2408,"48,978"
374WATER INC.,1.16,-3.33%,1.19,1.19,1.10,"59,176"
4D MOLECULAR THERAPEUTICS INC.,15.01,-1.57%,15.32,15.32,14.71,"418,309"
5E ADVANCED MATERIALS INC.,0.7189,+7.80%,0.6937,0.7500,0.6513,"100,162"
60 DEGREES PHARMACEUTICALS,1.34,-11.84%,1.46,1.50,1.33,"121,707"
89BIO INC.,9.50,+2.93%,9.32,9.63,9.24,"389,178"
8X8 INC,1.88,+0.00%,1.89,1.91,1.86,"686,402"
908 DEVICES INC.,3.95,-0.25%,3.97,4.02,3.92,"167,977"
99 ACQUISITION GROUP,0.0700,-61.22%,0.1572,0.1572,0.0600,"413,308"
99 ACQUISITION GROUP INC.,10.58,+0.76%,10.60,10.60,10.53,977
99 ACQUISITION GROUP INC. UNIT,10.74,+0.00%,10.74,10.74,10.74,"1,502"
9F INC. ADS,1.80,-0.55%,1.80,1.80,1.80,"1,963"
A SPAC II ACQUISITION,0.0701,+0.00%,0.0720,0.0720,0.0701,"10,000"
A SPAC II ACQUISITION,11.16,+0.00%,11.16,11.16,11.16,140
A SPAC II ACQUISITION,11.29,-0.18%,11.29,11.29,11.29,100
A-MARK PRECIOUS METALS INC.,38.97,+9.13%,37.55,39.25,35.20,"1,012,890"
A2Z CUST2MATE SOLUTIONS,0.6400,+3.23%,0.6481,0.6481,0.6115,"14,381"
AADI BIOSCIENCE INC.,1.81,+3.43%,1.75,1.86,1.75,"141,661"
AAON INC.,95.51,+1.93%,94.11,95.63,93.60,"274,708"
ABACUS LIFE,25.92,+1.17%,25.68,25.92,25.68,"2,421"
ABACUS LIFE INC.,10.21,+2.10%,9.98,10.30,9.87,"64,087"
ABCELLERA BIOLOGICS INC.,2.56,+1.19%,2.61,2.61,2.55,"5,486,346"
ABEONA THERAPEUTICS INC.,5.70,+2.52%,5.57,5.75,5.50,"180,068"
ABITS GROUP INC,0.4880,+1.35%,0.5000,0.5007,0.4620,"14,236"
ABIVAX SA ADS,12.71,+0.08%,12.71,13.17,12.63,"92,547"
ABLE VIEW GLOBAL INC.,1.56,-7.14%,1.66,1.66,1.56,417
ABOVE FOOD INGREDIENTS INC.,0.7260,-9.25%,0.8000,0.8496,0.7126,"53,238"
ABSCI CORP.,4.40,+2.33%,4.36,4.42,4.27,"674,277"
ABVC BIOPHARMA INC.,0.6753,-1.37%,0.6700,0.6851,0.6611,"69,616"
AC IMMUNE SA,3.23,+0.00%,3.23,3.25,3.13,"47,240"
ACACIA RESEARCH,4.81,+0.42%,4.81,4.82,4.74,"163,334"
ACADEMY SPORTS AND OUTDOORS,55.48,+0.34%,55.60,55.74,54.40,"1,360,526"
ACADIA HEALTHCARE CO.,81.93,+1.34%,80.85,82.40,79.83,"983,107"
ACADIA PHARMACEUTICALS INC.,16.58,+1.59%,16.44,16.63,16.26,"907,420"
ACASTI PHARMA INC.,2.62,-0.76%,2.62,2.71,2.60,"10,317"
ACCELERATE DIAGNOSTICS INC.,2.00,+4.71%,1.91,2.04,1.80,"128,511"
ACCOLADE INC.,4.34,+0.70%,4.33,4.40,4.26,"1,864,187"
ACCURAY INC.,2.18,+0.00%,2.19,2.24,2.13,"541,375"
ACELYRIN INC.,4.78,-0.62%,4.86,5.00,4.60,"634,315"
ACHIEVE LIFE SCIENCES INC.,4.39,-0.90%,4.50,4.60,4.23,"159,324"
ACHILLES THERAPEUTICS PLC ADS,0.7200,-2.23%,0.7300,0.7390,0.7100,"13,350"
ACI WORLDWIDE INC.,50.36,+1.39%,49.67,50.52,49.48,"714,081"
ACLARION INC.,0.2094,-3.46%,0.2195,0.2222,0.2050,"249,507"
ACLARIS THERAPEUTICS INC.,1.18,+0.85%,1.18,1.19,1.17,"170,946"
ACM RESEARCH INC.,18.04,+1.46%,18.20,18.30,17.81,"774,146"
ACNB CORP.,42.02,+0.05%,41.60,42.66,40.85,"13,142"
ACRI CAPITAL ACQUISITION,10.78,-13.06%,11.17,11.74,10.67,"7,202"
ACRI CAPITAL ACQUISITION,12.16,-5.74%,12.17,12.17,12.16,300
ACRIVON THERAPEUTICS INC.,9.49,-4.91%,10.16,10.16,8.92,"75,925"
ACTELIS NETWORKS INC.,1.72,-4.44%,1.85,1.86,1.65,"578,960"
ACTUATE THERAPEUTICS INC.,8.05,-0.98%,8.10,8.25,8.00,"38,448"
ACUMEN PHARMACEUTICALS INC.,2.74,-2.49%,2.80,2.85,2.63,"232,256"
ACURX PHARMACEUTICALS INC.,2.20,-0.45%,2.21,2.21,2.14,"31,330"
ACV AUCTIONS INC.,18.71,+2.41%,18.42,18.78,18.29,"967,058"
ADAGENE INC. ADS,2.80,-3.45%,2.86,2.89,2.80,"7,440"
ADAGIO MEDICAL HLD.,5.15,+9.81%,4.50,5.15,4.18,"36,019"
ADAMAS ONE CORP.,0.4028,-10.01%,0.4100,0.4200,0.3910,"27,722"
ADAPTHEALTH CORP.,10.99,-0.72%,11.16,11.16,10.80,"930,393"
ADAPTIMMUNE THERAPEUTICS PLC ADS,1.27,+0.00%,1.27,1.28,1.21,"985,969"
ADAPTIVE BIOTECHNOLOGIES,4.70,+0.64%,4.71,4.78,4.53,"744,292"
ADDENTAX GROUP CORP.,0.5495,-3.60%,0.5825,0.5825,0.5300,"46,814"
ADDEX THERAPEUTICS LTD ADS,10.86,+6.16%,10.16,11.40,10.16,"76,446"
ADDUS HOMECARE CORP.,133.01,+1.47%,131.57,133.59,131.15,"123,415"
ADEIA INC.,12.60,+1.45%,12.46,12.62,12.41,"498,864"
ADIAL PHARMACEUTICALS INC,0.9810,-0.81%,0.9750,1.0000,0.9500,"78,749"
ADICET BIO INC.,1.46,-1.35%,1.48,1.51,1.46,"238,972"
